lesson_id,course_id,title,order_number,difficulty_level
1,1,Lesson 1: Basics & Greetings,1,Beginner
2,2,Lesson 1: Basics & Greetings,1,Beginner
3,3,Lesson 1: Basics & Greetings,1,Beginner
4,4,Lesson 1: Basics & Greetings,1,Beginner
5,5,Lesson 1: Basics & Greetings,1,Beginner
6,6,Lesson 1: Basics & Greetings,1,Beginner
7,7,Lesson 1: Basics & Greetings,1,Beginner
8,8,Lesson 1: Basics & Greetings,1,Beginner
9,9,Lesson 1: Basics & Greetings,1,Beginner
10,10,Lesson 1: Basics & Greetings,1,Beginner
11,11,Lesson 1: Basics & Greetings,1,Beginner
12,12,Lesson 1: Basics & Greetings,1,Beginner
13,13,Lesson 1: Basics & Greetings,1,Beginner
14,14,Lesson 1: Basics & Greetings,1,Beginner
15,15,Lesson 1: Basics & Greetings,1,Beginner
16,16,Lesson 1: Basics & Greetings,1,Beginner
17,17,Lesson 1: Basics & Greetings,1,Beginner
18,18,Lesson 1: Basics & Greetings,1,Beginner
19,19,Lesson 1: Basics & Greetings,1,Beginner
20,1,Lesson 2: Basics & Greetings,2,Beginner
21,2,Lesson 2: Basics & Greetings,2,Beginner
22,3,Lesson 2: Basics & Greetings,2,Beginner
23,4,Lesson 2: Basics & Greetings,2,Beginner
24,5,Lesson 2: Basics & Greetings,2,Beginner
25,6,Lesson 2: Basics & Greetings,2,Beginner
26,7,Lesson 2: Basics & Greetings,2,Beginner
27,8,Lesson 2: Basics & Greetings,2,Beginner
28,9,Lesson 2: Basics & Greetings,2,Beginner
29,10,Lesson 2: Basics & Greetings,2,Beginner
30,11,Lesson 2: Basics & Greetings,2,Beginner
31,12,Lesson 2: Basics & Greetings,2,Beginner
32,13,Lesson 2: Basics & Greetings,2,Beginner
33,14,Lesson 2: Basics & Greetings,2,Beginner
34,15,Lesson 2: Basics & Greetings,2,Beginner
35,16,Lesson 2: Basics & Greetings,2,Beginner
36,17,Lesson 2: Basics & Greetings,2,Beginner
37,18,Lesson 2: Basics & Greetings,2,Beginner
38,19,Lesson 2: Basics & Greetings,2,Beginner
39,1,Lesson 3: Basics & Greetings,3,Beginner
40,2,Lesson 3: Basics & Greetings,3,Beginner
41,3,Lesson 3: Basics & Greetings,3,Beginner
42,4,Lesson 3: Basics & Greetings,3,Beginner
43,5,Lesson 3: Basics & Greetings,3,Beginner
44,6,Lesson 3: Basics & Greetings,3,Beginner
45,7,Lesson 3: Basics & Greetings,3,Beginner
46,8,Lesson 3: Basics & Greetings,3,Beginner
47,9,Lesson 3: Basics & Greetings,3,Beginner
48,10,Lesson 3: Basics & Greetings,3,Beginner
49,11,Lesson 3: Basics & Greetings,3,Beginner
50,12,Lesson 3: Basics & Greetings,3,Beginner
51,13,Lesson 3: Basics & Greetings,3,Beginner
52,14,Lesson 3: Basics & Greetings,3,Beginner
53,15,Lesson 3: Basics & Greetings,3,Beginner
54,16,Lesson 3: Basics & Greetings,3,Beginner
55,17,Lesson 3: Basics & Greetings,3,Beginner
56,18,Lesson 3: Basics & Greetings,3,Beginner
57,19,Lesson 3: Basics & Greetings,3,Beginner
58,1,Lesson 4: Basics & Greetings,4,Beginner
59,2,Lesson 4: Basics & Greetings,4,Beginner
60,3,Lesson 4: Basics & Greetings,4,Beginner
61,4,Lesson 4: Basics & Greetings,4,Beginner
62,5,Lesson 4: Basics & Greetings,4,Beginner
63,6,Lesson 4: Basics & Greetings,4,Beginner
64,7,Lesson 4: Basics & Greetings,4,Beginner
65,8,Lesson 4: Basics & Greetings,4,Beginner
66,9,Lesson 4: Basics & Greetings,4,Beginner
67,10,Lesson 4: Basics & Greetings,4,Beginner
68,11,Lesson 4: Basics & Greetings,4,Beginner
69,12,Lesson 4: Basics & Greetings,4,Beginner
70,13,Lesson 4: Basics & Greetings,4,Beginner
71,14,Lesson 4: Basics & Greetings,4,Beginner
72,15,Lesson 4: Basics & Greetings,4,Beginner
73,16,Lesson 4: Basics & Greetings,4,Beginner
74,17,Lesson 4: Basics & Greetings,4,Beginner
75,18,Lesson 4: Basics & Greetings,4,Beginner
76,19,Lesson 4: Basics & Greetings,4,Beginner
